city,company,jobID,jobLink,jobTitle,province,salary,summary
Vancouver,PhotoSat,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,satellite data analyst,BC,n/a,We are looking for an entry level Satellite Data Analyst to join the Production Team at PhotoSat. Your role will be to produce products derived from satellite...
Concord,Groom & Associates,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,junior data analyst -water flow data,ON,n/a,"Junior Data Analyst -water flow data. This data may include sanitary, storm sewer flow data, sewer system evaluation survey data, collection, system schematics,..."
London,TD Bank,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,business/data analyst,ON,n/a,"Provide a broad range of data analysis functions including data modeling, data quality assessment, data profiling, data provenance and lineage, report..."
Mississauga,HealthPRO Procurement Services Inc.,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,contracting / category analyst (healthcare),ON,n/a,Analyzes membership purchase data. Ensures accurate data collection for analysis and reporting. The successful candidates will have prior healthcare and/or...
Toronto,ENVISION SALES USA INC.,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst – excel reporting,ON,$30 - $40 an hour,"Excel reporting and data transformation (50%); We are looking for a team member able to provide data analysis and standard reporting support, which includes the..."
Toronto,Remington Retail,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst,ON,$40 - $60 an hour,"Review, validate and manipulate data in support of financial modelling and data management principles. Our client, one of the largest Cannabis companies in..."
Toronto,Clutch,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst,ON,n/a,"Perform extensive data QA. Data is core to our three principles:. Query data to analyze, monitor, and investigate trends...."
Canada,EPAM Systems,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,junior data analyst,Canada,n/a,"Collaborate with business analysts, data scientists, software engineers, and solution architects to develop data driven solutions for clients...."
Burnaby,Best Buy Canada,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst,BC,n/a,As a Data Analyst you will…. The Data Analyst plays a key role in creating and advancing data driven solutions and capabilities for various business groups...
Hamilton,iPartner,1,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DYmwj-F4edwyjjGc6FA0P9l8W8cNQeBpgtdRo5dm2j0uyGf6AxmyMkJJSTW5Zi7Uln_-e9c_hg8INXCul6Ig1g3KfCT2suadwghZRwSB5m_ouGzMi3QyP9s5CNH-qDolnVnDEWG9_z2HSA9G84SFO12IoWgkkdZctMt9e96MBsJhuwyDfZ9owBGFu4yEqbzjY1ZdLXIDRblLkiD3ozv-ADux4AiIRsGMbtTopwc0_BKQzLumpgmaMiq4b8Er6uyJ3Hv1vHMWijqaGZeRVf3zyquX_rzQ3mpJSeWBy7B-uJZP9GicxklzhKDSSyAP3QgH592Ac_7OQ9--2ljnflmDadcAX4GiHeTNa_QaPytISpg7aPWvhUzNDOOhQReQZF0hgtAbilEzL5KErIiIRU0-IUw-2cuOqnWvuPC6gNCKO6VvPN8M-SMVSh&vjs=3&p=1&sk=&fvj=1,data analyst advisor,ON,$60 - $90 an hour,Data Analyst Advisor*. Research and advise on industry best practices in Data Governance. Propose control structures to ensure the accuracy and quality of data...
