city,province
Selkirk,Manitoba
Trepassey,Newfoundland and Labrador
Schefferville,Québec
Whitehorse,Yukon
Trout River,Newfoundland and Labrador
Yorkton,Saskatchewan
Antigonish,Nova Scotia
Gander,Newfoundland and Labrador
Berens River,Manitoba
Port-Menier,Québec
Wetaskiwin,Alberta
Shamattawa,Manitoba
Steinbach,Manitoba
Thunder Bay,Ontario
Oshawa,Ontario
Chicoutimi,Québec
Melville,Saskatchewan
Brooks,Alberta
Dauphin,Manitoba
Smithers,British Columbia
Terrace,British Columbia
Lutselke,Northwest Territories
Resolute,Nunavut
Quesnel,British Columbia
Island Lake,Manitoba
Halifax,Nova Scotia
Watson Lake,Yukon
Sydney,Nova Scotia
Dawson Creek,British Columbia
Uranium City,Saskatchewan
Timmins,Ontario
Saskatoon,Saskatchewan
Iqaluit,Nunavut
Alert,Nunavut
Thessalon,Ontario
Yellowknife,Northwest Territories
Camrose,Alberta
Campbell River,British Columbia
Revelstoke,British Columbia
Meadow Lake,Saskatchewan
Atikokan,Ontario
Creston,British Columbia
Gillam,Manitoba
Cranbrook,British Columbia
Little Current,Ontario
Calgary,Alberta
Big Beaver House,Ontario
Parry Sound,Ontario
Kamloops,British Columbia
Dolbeau,Québec
St. John's,Newfoundland and Labrador
Lansdowne House,Ontario
Paulatuk,Northwest Territories
Attawapiskat,Ontario
Rimouski,Québec
Grand Prairie,Alberta
La Sarre,Québec
Mingan,Québec
Prince Albert,Saskatchewan
Moose Jaw,Saskatchewan
Powell River,British Columbia
Pangnirtung,Nunavut
Nelson,British Columbia
Peace River,Alberta
Cobalt,Ontario
New Glasgow,Nova Scotia
Arctic Bay,Nunavut
Burwash Landing,Yukon
Saint-Georges,Québec
Vancouver,British Columbia
Medicine Hat,Alberta
Port Hope Simpson,Newfoundland and Labrador
Deer Lake,Newfoundland and Labrador
Vegreville,Alberta
Bella Bella,British Columbia
Rankin Inlet,Nunavut
Owen Sound,Ontario
Lac La Biche,Alberta
Hopedale,Newfoundland and Labrador
Norway House,Manitoba
Coral Harbour,Nunavut
Kugluktuk,Nunavut
Norman Wells,Northwest Territories
Fort Resolution,Northwest Territories
Fort McPherson,Northwest Territories
Forteau,Newfoundland and Labrador
Kuujjuaq,Québec
Cape Dorset,Nunavut
